ecosystem,package,version,license,scope,commercial_use,notes
npm,@babel/code-frame,7.29.0,MIT,dev,yes,
npm,@babel/compat-data,7.29.0,MIT,dev,yes,
npm,@babel/core,7.29.0,MIT,dev,yes,
npm,@babel/generator,7.29.1,MIT,dev,yes,
npm,@babel/helper-compilation-targets,7.28.6,MIT,dev,yes,
npm,@babel/helper-globals,7.28.0,MIT,dev,yes,
npm,@babel/helper-module-imports,7.28.6,MIT,dev,yes,
npm,@babel/helper-module-transforms,7.28.6,MIT,dev,yes,
npm,@babel/helper-plugin-utils,7.28.6,MIT,dev,yes,
npm,@babel/helper-string-parser,7.27.1,MIT,dev,yes,
npm,@babel/helper-validator-identifier,7.28.5,MIT,dev,yes,
npm,@babel/helper-validator-option,7.27.1,MIT,dev,yes,
npm,@babel/helpers,7.28.6,MIT,dev,yes,
npm,@babel/parser,7.29.0,MIT,dev,yes,
npm,@babel/plugin-transform-react-jsx-self,7.27.1,MIT,dev,yes,
npm,@babel/plugin-transform-react-jsx-source,7.27.1,MIT,dev,yes,
npm,@babel/template,7.28.6,MIT,dev,yes,
npm,@babel/traverse,7.29.0,MIT,dev,yes,
npm,@babel/types,7.29.0,MIT,dev,yes,
npm,@esbuild/aix-ppc64,0.27.3,MIT,dev,yes,
npm,@esbuild/android-arm,0.27.3,MIT,dev,yes,
npm,@esbuild/android-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/android-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/darwin-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/darwin-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/freebsd-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/freebsd-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-arm,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-ia32,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-loong64,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-mips64el,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-ppc64,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-riscv64,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-s390x,0.27.3,MIT,dev,yes,
npm,@esbuild/linux-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/netbsd-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/netbsd-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/openbsd-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/openbsd-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/openharmony-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/sunos-x64,0.27.3,MIT,dev,yes,
npm,@esbuild/win32-arm64,0.27.3,MIT,dev,yes,
npm,@esbuild/win32-ia32,0.27.3,MIT,dev,yes,
npm,@esbuild/win32-x64,0.27.3,MIT,dev,yes,
npm,@eslint-community/eslint-utils,4.9.1,MIT,dev,yes,
npm,@eslint-community/regexpp,4.12.2,MIT,dev,yes,
npm,@eslint/config-array,0.21.1,Apache-2.0,dev,yes,
npm,@eslint/config-helpers,0.4.2,Apache-2.0,dev,yes,
npm,@eslint/core,0.17.0,Apache-2.0,dev,yes,
npm,@eslint/eslintrc,3.3.3,MIT,dev,yes,
npm,@eslint/js,9.39.3,MIT,dev,yes,
npm,@eslint/object-schema,2.1.7,Apache-2.0,dev,yes,
npm,@eslint/plugin-kit,0.4.1,Apache-2.0,dev,yes,
npm,@humanfs/core,0.19.1,Apache-2.0,dev,yes,
npm,@humanfs/node,0.16.7,Apache-2.0,dev,yes,
npm,@humanwhocodes/module-importer,1.0.1,Apache-2.0,dev,yes,
npm,@humanwhocodes/retry,0.4.3,Apache-2.0,dev,yes,
npm,@jridgewell/gen-mapping,0.3.13,MIT,dev,yes,
npm,@jridgewell/remapping,2.3.5,MIT,dev,yes,
npm,@jridgewell/resolve-uri,3.1.2,MIT,dev,yes,
npm,@jridgewell/sourcemap-codec,1.5.5,MIT,dev,yes,
npm,@jridgewell/trace-mapping,0.3.31,MIT,dev,yes,
npm,@napi-rs/canvas,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-android-arm64,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-darwin-arm64,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-darwin-x64,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-arm-gnueabihf,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-arm64-gnu,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-arm64-musl,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-riscv64-gnu,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-x64-gnu,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-linux-x64-musl,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-win32-arm64-msvc,0.1.94,MIT,runtime,yes,
npm,@napi-rs/canvas-win32-x64-msvc,0.1.94,MIT,runtime,yes,
npm,@rolldown/pluginutils,1.0.0-rc.3,MIT,dev,yes,
npm,@rollup/rollup-android-arm-eabi,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-android-arm64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-darwin-arm64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-darwin-x64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-freebsd-arm64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-freebsd-x64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-arm-gnueabihf,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-arm-musleabihf,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-arm64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-arm64-musl,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-loong64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-loong64-musl,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-ppc64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-ppc64-musl,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-riscv64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-riscv64-musl,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-s390x-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-x64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-linux-x64-musl,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-openbsd-x64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-openharmony-arm64,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-win32-arm64-msvc,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-win32-ia32-msvc,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-win32-x64-gnu,4.59.0,MIT,dev,yes,
npm,@rollup/rollup-win32-x64-msvc,4.59.0,MIT,dev,yes,
npm,@types/babel__core,7.20.5,MIT,dev,yes,
npm,@types/babel__generator,7.27.0,MIT,dev,yes,
npm,@types/babel__template,7.4.4,MIT,dev,yes,
npm,@types/babel__traverse,7.28.0,MIT,dev,yes,
npm,@types/estree,1.0.8,MIT,dev,yes,
npm,@types/json-schema,7.0.15,MIT,dev,yes,
npm,@types/react,19.2.14,MIT,dev,yes,
npm,@types/react-dom,19.2.3,MIT,dev,yes,
npm,@vitejs/plugin-react,5.1.4,MIT,dev,yes,
npm,acorn,8.16.0,MIT,dev,yes,
npm,acorn-jsx,5.3.2,MIT,dev,yes,
npm,ajv,6.14.0,MIT,dev,yes,
npm,ansi-styles,4.3.0,MIT,dev,yes,
npm,argparse,2.0.1,Python-2.0,dev,yes,
npm,balanced-match,1.0.2,MIT,dev,yes,
npm,baseline-browser-mapping,2.10.0,Apache-2.0,dev,yes,
npm,brace-expansion,1.1.12,MIT,dev,yes,
npm,browserslist,4.28.1,MIT,dev,yes,
npm,callsites,3.1.0,MIT,dev,yes,
npm,caniuse-lite,1.0.30001774,CC-BY-4.0,dev,yes,Attribution required.
npm,chalk,4.1.2,MIT,dev,yes,
npm,color-convert,2.0.1,MIT,dev,yes,
npm,color-name,1.1.4,MIT,dev,yes,
npm,concat-map,0.0.1,MIT,dev,yes,
npm,convert-source-map,2.0.0,MIT,dev,yes,
npm,cookie,1.1.1,MIT,runtime,yes,
npm,cross-spawn,7.0.6,MIT,dev,yes,
npm,csstype,3.2.3,MIT,dev,yes,
npm,debug,4.4.3,MIT,dev,yes,
npm,deep-is,0.1.4,MIT,dev,yes,
npm,electron-to-chromium,1.5.302,ISC,dev,yes,
npm,esbuild,0.27.3,MIT,dev,yes,
npm,escalade,3.2.0,MIT,dev,yes,
npm,escape-string-regexp,4.0.0,MIT,dev,yes,
npm,eslint,9.39.3,MIT,dev,yes,
npm,eslint-plugin-react-hooks,7.0.1,MIT,dev,yes,
npm,eslint-plugin-react-refresh,0.4.26,MIT,dev,yes,
npm,eslint-scope,8.4.0,BSD-2-Clause,dev,yes,
npm,eslint-visitor-keys,3.4.3,Apache-2.0,dev,yes,
npm,eslint-visitor-keys,4.2.1,Apache-2.0,dev,yes,
npm,espree,10.4.0,BSD-2-Clause,dev,yes,
npm,esquery,1.7.0,BSD-3-Clause,dev,yes,
npm,esrecurse,4.3.0,BSD-2-Clause,dev,yes,
npm,estraverse,5.3.0,BSD-2-Clause,dev,yes,
npm,esutils,2.0.3,BSD-2-Clause,dev,yes,
npm,fast-deep-equal,3.1.3,MIT,dev,yes,
npm,fast-json-stable-stringify,2.1.0,MIT,dev,yes,
npm,fast-levenshtein,2.0.6,MIT,dev,yes,
npm,fdir,6.5.0,MIT,dev,yes,
npm,file-entry-cache,8.0.0,MIT,dev,yes,
npm,find-up,5.0.0,MIT,dev,yes,
npm,flat-cache,4.0.1,MIT,dev,yes,
npm,flatted,3.3.3,ISC,dev,yes,
npm,frontend,0.0.0,UNKNOWN,runtime,unknown,
npm,fsevents,2.3.3,MIT,dev,yes,
npm,gensync,1.0.0-beta.2,MIT,dev,yes,
npm,glob-parent,6.0.2,ISC,dev,yes,
npm,globals,14.0.0,MIT,dev,yes,
npm,globals,16.5.0,MIT,dev,yes,
npm,has-flag,4.0.0,MIT,dev,yes,
npm,hermes-estree,0.25.1,MIT,dev,yes,
npm,hermes-parser,0.25.1,MIT,dev,yes,
npm,ignore,5.3.2,MIT,dev,yes,
npm,import-fresh,3.3.1,MIT,dev,yes,
npm,imurmurhash,0.1.4,MIT,dev,yes,
npm,is-extglob,2.1.1,MIT,dev,yes,
npm,is-glob,4.0.3,MIT,dev,yes,
npm,isexe,2.0.0,ISC,dev,yes,
npm,js-tokens,4.0.0,MIT,dev,yes,
npm,js-yaml,4.1.1,MIT,dev,yes,
npm,jsesc,3.1.0,MIT,dev,yes,
npm,json-buffer,3.0.1,MIT,dev,yes,
npm,json-schema-traverse,0.4.1,MIT,dev,yes,
npm,json-stable-stringify-without-jsonify,1.0.1,MIT,dev,yes,
npm,json5,2.2.3,MIT,dev,yes,
npm,keyv,4.5.4,MIT,dev,yes,
npm,levn,0.4.1,MIT,dev,yes,
npm,locate-path,6.0.0,MIT,dev,yes,
npm,lodash.merge,4.6.2,MIT,dev,yes,
npm,lru-cache,5.1.1,ISC,dev,yes,
npm,minimatch,3.1.3,ISC,dev,yes,
npm,ms,2.1.3,MIT,dev,yes,
npm,nanoid,3.3.11,MIT,dev,yes,
npm,natural-compare,1.4.0,MIT,dev,yes,
npm,node-readable-to-web-readable-stream,0.4.2,MIT,runtime,yes,
npm,node-releases,2.0.27,MIT,dev,yes,
npm,optionator,0.9.4,MIT,dev,yes,
npm,p-limit,3.1.0,MIT,dev,yes,
npm,p-locate,5.0.0,MIT,dev,yes,
npm,parent-module,1.0.1,MIT,dev,yes,
npm,path-exists,4.0.0,MIT,dev,yes,
npm,path-key,3.1.1,MIT,dev,yes,
npm,pdfjs-dist,5.4.624,Apache-2.0,runtime,yes,
npm,picocolors,1.1.1,ISC,dev,yes,
npm,picomatch,4.0.3,MIT,dev,yes,
npm,postcss,8.5.6,MIT,dev,yes,
npm,prelude-ls,1.2.1,MIT,dev,yes,
npm,punycode,2.3.1,MIT,dev,yes,
npm,react,19.2.4,MIT,runtime,yes,
npm,react-dom,19.2.4,MIT,runtime,yes,
npm,react-refresh,0.18.0,MIT,dev,yes,
npm,react-router,7.13.1,MIT,runtime,yes,
npm,react-router-dom,7.13.1,MIT,runtime,yes,
npm,resolve-from,4.0.0,MIT,dev,yes,
npm,rollup,4.59.0,MIT,dev,yes,
npm,scheduler,0.27.0,MIT,runtime,yes,
npm,semver,6.3.1,ISC,dev,yes,
npm,set-cookie-parser,2.7.2,MIT,runtime,yes,
npm,shebang-command,2.0.0,MIT,dev,yes,
npm,shebang-regex,3.0.0,MIT,dev,yes,
npm,source-map-js,1.2.1,BSD-3-Clause,dev,yes,
npm,strip-json-comments,3.1.1,MIT,dev,yes,
npm,supports-color,7.2.0,MIT,dev,yes,
npm,tinyglobby,0.2.15,MIT,dev,yes,
npm,type-check,0.4.0,MIT,dev,yes,
npm,update-browserslist-db,1.2.3,MIT,dev,yes,
npm,uri-js,4.4.1,BSD-2-Clause,dev,yes,
npm,vite,7.3.1,MIT,dev,yes,
npm,which,2.0.2,ISC,dev,yes,
npm,word-wrap,1.2.5,MIT,dev,yes,
npm,yallist,3.1.1,ISC,dev,yes,
npm,yocto-queue,0.1.0,MIT,dev,yes,
npm,zod,4.3.6,MIT,dev,yes,
npm,zod-validation-error,4.0.2,MIT,dev,yes,
pip,bcrypt,4.1.3,Apache-2.0,runtime,yes,
pip,Flask,3.0.0,BSD-3-Clause,runtime,yes,
pip,Flask-CORS,4.0.0,MIT,runtime,yes,
pip,Flask-JWT-Extended,4.6.0,MIT,runtime,yes,
pip,psycopg2-binary,2.9.9,LGPL with exceptions,runtime,depends,LGPL with exceptions; review obligations for your distribution model.
pip,pypdf,3.17.4,BSD-3-Clause,runtime,yes,
pip,python-dotenv,1.0.0,BSD-3-Clause,runtime,yes,
pip,reportlab,4.0.7,BSD-like,runtime,yes,
